Cache Size	Blocksize	Associativity	Random	Accesses	Hits	Misses	Miss Rate (%)	Total Time	Hit Time	Miss Penalty
128	1	1	true 311817     	 181803     	 130014     	 41.7 	 	 17419710	10 	 	 110
128	2	1	true	311817     	 240429     	 71388      	 22.9 	 	 11684730  	10 	 	 120
128	4	1	true	311817     	 265071     	 46746      	 15.0 	 	 9662610   	10 	 	 140
128	8	1	true	311817     	 267146     	 44671      	 14.3 	 	 11158950  	10 	 	 180
128	16	1	true	311817     	 248473     	 63344      	 20.3 	 	 19587610  	10 	 	 260
128	32	1	true	311817     	 194646     	 117171     	 37.6 	 	 52329990  	10 	 	 420
128	1	2	true	311817     	 180274     	 131543     	 42.2 	 	 17899717  	11 	 	 110
128	2	2	true	311817     	 242552     	 69265      	 22.2 	 	 11741787  	11 	 	 120
128	4	2	true	311817     	 273244     	 38573      	 12.4 	 	 8830207   	11 	 	 140
128	8	2	true	311817     	 287981     	 23836      	 7.6  	 	 7720467   	11 	 	 180
128	16	2	true	311817     	 294568     	 17249      	 5.5  	 	 7914727   	11 	 	 260
128	1	4	true	311817     	 179144     	 132673     	 42.5 	 	 18647651  	13 	 	 110
128	2	4	true	311817     	 242603     	 69214      	 22.2 	 	 12359301  	13 	 	 120
128	4	4	true	311817     	 274158     	 37659      	 12.1 	 	 9325881   	13 	 	 140
128	8	4	true	311817     	 289543     	 22274      	 7.1  	 	 8062941   	13 	 	 180
128	1	8	true	311817     	 178522     	 133295     	 42.7 	 	 19963339  	17 	 	 110
128	2	8	true	311817     	 242355     	 69462      	 22.3 	 	 13636329  	17 	 	 120
128	4	8	true	311817     	 274320     	 37497      	 12.0 	 	 10550469  	17 	 	 140
128	1	16	true	311817     	 178108     	 133709     	 42.9 	 	 22503415  	25 	 	 110
128	2	16	true	311817     	 242346     	 69471      	 22.3 	 	 16131945  	25 	 	 120
128	1	32	true	311817     	 177752     	 134065     	 43.0 	 	 27531647  	41 	 	 110
256	1	1	true	311817     	 181803     	 130014     	 41.7 	 	 17419710  	10 	 	 110
256	2	1	true	311817     	 240429     	 71388      	 22.9 	 	 11684730  	10 	 	 120
256	4	1	true	311817     	 265071     	 46746      	 15.0 	 	 9662610   	10 	 	 140
256	8	1	true	311817     	 267146     	 44671      	 14.3 	 	 11158950  	10 	 	 180
256	16	1	true	311817     	 248473     	 63344      	 20.3 	 	 19587610  	10 	 	 260
