Cache Size	Blocksize	Associativity	Random	Accesses	Hits	Misses	Miss Rate (%)	Total Time	Hit Time	Miss Penalty
128	1	1	true	300	164	136	45.3	17960	10	110
128	2	1	true	300	220	80	26.7	12600	10	120
128	4	1	true	300	243	57	19.0	10980	10	140
128	8	1	true	300	249	51	17.0	12180	10	180
128	16	1	true	300	208	92	30.7	26920	10	260
128	32	1	true	300	136	164	54.7	71880	10	420
128	1	2	true	300	167	133	44.3	17930	11	110
128	2	2	true	300	222	78	26.0	12660	11	120
128	4	2	true	300	257	43	14.3	9320	11	140
128	8	2	true	300	277	23	7.7	7440	11	180
128	16	2	true	300	244	56	18.7	17860	11	260
128	1	4	true	300	171	129	43.0	18090	13	110
128	2	4	true	300	231	69	23.0	12180	13	120
128	4	4	true	300	260	40	13.3	9500	13	140
128	8	4	true	300	272	28	9.3	8940	13	180
128	1	8	true	300	164	136	45.3	20060	17	110
128	2	8	true	300	235	65	21.7	12900	17	120
128	4	8	true	300	261	39	13.0	10560	17	140
128	1	16	true	300	163	137	45.7	22570	25	110
128	2	16	true	300	231	69	23.0	15780	25	120
128	1	32	true	300	168	132	44.0	26820	41	110
256	1	1	true	300	164	136	45.3	17960	10	110
256	2	1	true	300	220	80	26.7	12600	10	120
256	4	1	true	300	243	57	19.0	10980	10	140
256	8	1	true	300	249	51	17.0	12180	10	180
256	16	1	true	300	208	92	30.7	26920	10	260
256	32	1	true	300	136	164	54.7	71880	10	420
256	1	2	true	300	167	133	44.3	17930	11	110
256	2	2	true	300	222	78	26.0	12660	11	120
256	4	2	true	300	257	43	14.3	9320	11	140
256	8	2	true	300	277	23	7.7	7440	11	180
256	16	2	true	300	244	56	18.7	17860	11	260
256	1	4	true	300	171	129	43.0	18090	13	110
256	2	4	true	300	231	69	23.0	12180	13	120
256	4	4	true	300	260	40	13.3	9500	13	140
256	8	4	true	300	272	28	9.3	8940	13	180
256	1	8	true	300	164	136	45.3	20060	17	110
256	2	8	true	300	235	65	21.7	12900	17	120
256	4	8	true	300	261	39	13.0	10560	17	140
256	1	16	true	300	163	137	45.7	22570	25	110
256	2	16	true	300	231	69	23.0	15780	25	120
256	1	32	true	300	168	132	44.0	26820	41	110
512	1	1	true	300	164	136	45.3	17960	10	110
512	2	1	true	300	220	80	26.7	12600	10	120
512	4	1	true	300	243	57	19.0	10980	10	140
512	8	1	true	300	249	51	17.0	12180	10	180
512	16	1	true	300	208	92	30.7	26920	10	260
512	32	1	true	300	136	164	54.7	71880	10	420
512	1	2	true	300	167	133	44.3	17930	11	110
512	2	2	true	300	222	78	26.0	12660	11	120
512	4	2	true	300	257	43	14.3	9320	11	140
512	8	2	true	300	277	23	7.7	7440	11	180
512	16	2	true	300	244	56	18.7	17860	11	260
512	1	4	true	300	171	129	43.0	18090	13	110
512	2	4	true	300	231	69	23.0	12180	13	120
512	4	4	true	300	260	40	13.3	9500	13	140
512	8	4	true	300	272	28	9.3	8940	13	180
512	1	8	true	300	164	136	45.3	20060	17	110
512	2	8	true	300	235	65	21.7	12900	17	120
512	4	8	true	300	261	39	13.0	10560	17	140
512	1	16	true	300	163	137	45.7	22570	25	110
512	2	16	true	300	231	69	23.0	15780	25	120
512	1	32	true	300	168	132	44.0	26820	41	110
1024	1	1	true	300	164	136	45.3	17960	10	110
1024	2	1	true	300	220	80	26.7	12600	10	120
1024	4	1	true	300	243	57	19.0	10980	10	140
1024	8	1	true	300	249	51	17.0	12180	10	180
1024	16	1	true	300	208	92	30.7	26920	10	260
1024	32	1	true	300	136	164	54.7	71880	10	420
1024	1	2	true	300	167	133	44.3	17930	11	110
1024	2	2	true	300	222	78	26.0	12660	11	120
1024	4	2	true	300	257	43	14.3	9320	11	140
1024	8	2	true	300	277	23	7.7	7440	11	180
1024	16	2	true	300	244	56	18.7	17860	11	260
1024	1	4	true	300	171	129	43.0	18090	13	110
1024	2	4	true	300	231	69	23.0	12180	13	120
1024	4	4	true	300	260	40	13.3	9500	13	140
1024	8	4	true	300	272	28	9.3	8940	13	180
1024	1	8	true	300	164	136	45.3	20060	17	110
1024	2	8	true	300	235	65	21.7	12900	17	120
1024	4	8	true	300	261	39	13.0	10560	17	140
1024	1	16	true	300	163	137	45.7	22570	25	110
1024	2	16	true	300	231	69	23.0	15780	25	120
1024	1	32	true	300	168	132	44.0	26820	41	110
2048	1	1	true	300	164	136	45.3	17960	10	110
2048	2	1	true	300	220	80	26.7	12600	10	120
2048	4	1	true	300	243	57	19.0	10980	10	140
2048	8	1	true	300	249	51	17.0	12180	10	180
2048	16	1	true	300	208	92	30.7	26920	10	260
2048	32	1	true	300	136	164	54.7	71880	10	420
2048	1	2	true	300	180	120	40.0	16800	12	110
2048	2	2	true	300	243	57	19.0	10440	12	120
2048	4	2	true	300	272	28	9.3	7520	12	140
2048	8	2	true	300	285	15	5.0	6300	12	180
2048	16	2	true	300	257	43	14.3	14780	12	260
2048	1	4	true	300	181	119	39.7	17890	16	110
2048	2	4	true	300	245	55	18.3	11400	16	120
2048	4	4	true	300	272	28	9.3	8720	16	140
2048	8	4	true	300	283	17	5.7	7860	16	180
2048	1	8	true	300	183	117	39.0	20070	24	110
2048	2	8	true	300	245	55	18.3	13800	24	120
2048	4	8	true	300	272	28	9.3	11120	24	140
2048	1	16	true	300	182	118	39.3	24980	40	110
2048	2	16	true	300	244	56	18.7	18720	40	120
2048	1	32	true	300	181	119	39.7	34690	72	110
